,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
69978,2604.5,84.372,29.24,0.262,5.003,2.204,15/9-F-11 A
69979,2604.6,85.583,28.342,0.266,5.021,2.195,15/9-F-11 A
69980,2604.7,86.863,27.322,0.268,5.012,2.187,15/9-F-11 A
69981,2604.8,88.175,26.961,0.269,4.996,2.179,15/9-F-11 A
69982,2604.9,89.334,25.813,0.268,4.998,2.175,15/9-F-11 A
69983,2605.0,90.155,25.664,0.269,5.016,2.174,15/9-F-11 A
69984,2605.1,90.168,25.722,0.272,5.026,2.173,15/9-F-11 A
69985,2605.2,89.92,25.608,0.274,5.017,2.171,15/9-F-11 A
69986,2605.3,89.54,25.434,0.277,4.997,2.171,15/9-F-11 A
69987,2605.4,89.012,25.519,0.282,4.985,2.173,15/9-F-11 A
69988,2605.5,88.544,26.275,0.284,4.993,2.178,15/9-F-11 A
69989,2605.6,88.129,24.981,0.283,5.006,2.182,15/9-F-11 A
69990,2605.7,87.831,24.824,0.28,5.002,2.184,15/9-F-11 A
69991,2605.8,87.956,25.483,0.273,4.969,2.184,15/9-F-11 A
69992,2605.9,88.326,24.725,0.265,4.921,2.181,15/9-F-11 A
69993,2606.0,88.809,24.805,0.26,4.897,2.179,15/9-F-11 A
69994,2606.1,89.506,24.755,0.259,4.915,2.178,15/9-F-11 A
69995,2606.2,90.338,25.234,0.264,4.958,2.179,15/9-F-11 A
69996,2606.3,91.098,26.622,0.271,5.002,2.183,15/9-F-11 A
69997,2606.4,91.915,27.994,0.276,5.03,2.189,15/9-F-11 A
69998,2606.5,92.767,27.798,0.277,5.037,2.193,15/9-F-11 A
69999,2606.6,93.314,30.169,0.276,5.04,2.194,15/9-F-11 A
70000,2606.7,93.934,32.99,0.273,5.056,2.193,15/9-F-11 A
70001,2606.8,94.626,34.367,0.27,5.086,2.191,15/9-F-11 A
70002,2606.9,95.278,34.147,0.267,5.112,2.189,15/9-F-11 A
70003,2607.0,96.072,33.57,0.266,5.121,2.189,15/9-F-11 A
70004,2607.1,97.037,33.16,0.267,5.123,2.189,15/9-F-11 A
70005,2607.2,97.917,33.631,0.269,5.139,2.189,15/9-F-11 A
